DATE,SUBDIVISION,YEAR,MONTH,MONTH_NAME,RAINFALL_MM,IS_OUTLIER_YEAR
1901-01-01,COASTAL KARNATAKA,1901,1,JAN,1.8,False
1901-02-01,COASTAL KARNATAKA,1901,2,FEB,0.6,False
1901-03-01,COASTAL KARNATAKA,1901,3,MAR,10.7,False
1901-04-01,COASTAL KARNATAKA,1901,4,APR,52.4,False
1901-05-01,COASTAL KARNATAKA,1901,5,MAY,81.6,False
1901-06-01,COASTAL KARNATAKA,1901,6,JUN,960.9,False
1901-07-01,COASTAL KARNATAKA,1901,7,JUL,991.2,False
1901-08-01,COASTAL KARNATAKA,1901,8,AUG,606.4,False
1901-09-01,COASTAL KARNATAKA,1901,9,SEP,108.0,False
1901-10-01,COASTAL KARNATAKA,1901,10,OCT,120.5,False
1901-11-01,COASTAL KARNATAKA,1901,11,NOV,104.9,False
1901-12-01,COASTAL KARNATAKA,1901,12,DEC,17.8,False
1902-01-01,COASTAL KARNATAKA,1902,1,JAN,3.2,False
1902-02-01,COASTAL KARNATAKA,1902,2,FEB,0.3,False
1902-03-01,COASTAL KARNATAKA,1902,3,MAR,4.9,False
1902-04-01,COASTAL KARNATAKA,1902,4,APR,10.2,False
1902-05-01,COASTAL KARNATAKA,1902,5,MAY,54.6,False
1902-06-01,COASTAL KARNATAKA,1902,6,JUN,698.4,False
1902-07-01,COASTAL KARNATAKA,1902,7,JUL,1401.6,False
1902-08-01,COASTAL KARNATAKA,1902,8,AUG,454.2,False
1902-09-01,COASTAL KARNATAKA,1902,9,SEP,708.4,False
1902-10-01,COASTAL KARNATAKA,1902,10,OCT,180.4,False
1902-11-01,COASTAL KARNATAKA,1902,11,NOV,50.8,False
1902-12-01,COASTAL KARNATAKA,1902,12,DEC,132.2,False
1903-01-01,COASTAL KARNATAKA,1903,1,JAN,0.7,False
1903-02-01,COASTAL KARNATAKA,1903,2,FEB,0.0,False
1903-03-01,COASTAL KARNATAKA,1903,3,MAR,0.0,False
1903-04-01,COASTAL KARNATAKA,1903,4,APR,4.1,False
1903-05-01,COASTAL KARNATAKA,1903,5,MAY,202.8,False
1903-06-01,COASTAL KARNATAKA,1903,6,JUN,536.5,False
1903-07-01,COASTAL KARNATAKA,1903,7,JUL,1405.5,False
1903-08-01,COASTAL KARNATAKA,1903,8,AUG,593.8,False
1903-09-01,COASTAL KARNATAKA,1903,9,SEP,304.4,False
1903-10-01,COASTAL KARNATAKA,1903,10,OCT,185.0,False
1903-11-01,COASTAL KARNATAKA,1903,11,NOV,79.3,False
1903-12-01,COASTAL KARNATAKA,1903,12,DEC,5.3,False
1904-01-01,COASTAL KARNATAKA,1904,1,JAN,2.4,False
1904-02-01,COASTAL KARNATAKA,1904,2,FEB,0.0,False
1904-03-01,COASTAL KARNATAKA,1904,3,MAR,4.8,False
1904-04-01,COASTAL KARNATAKA,1904,4,APR,23.7,False
1904-05-01,COASTAL KARNATAKA,1904,5,MAY,93.2,False
